TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.10982	0.00217	0.00029	465.366	-93.690	-135.144	-0.785	0.000	3.141	20181	0.707	54.012	-6.558	-8.452	0.270	-0.096	0.080	-0.407	-1.675	1.766	-0.637	0.528	0.107	-0.488	1.015	0.355	-1.801	-0.726	0.461	-1.979	
1.68064	0.00217	0.00024	466.577	-94.855	-135.074	-0.785	-0.000	3.141	20367	1.081	54.426	-6.464	-9.006	0.243	-0.081	0.169	-1.014	-1.811	2.119	-0.743	0.954	0.167	-0.488	1.015	0.355	-1.800	-0.725	0.461	-1.981	
7.17120	0.03617	0.00045	471.718	-99.854	-135.098	-0.785	-0.000	-3.141	20652	0.743	54.746	-6.569	-8.835	0.255	-0.117	0.119	-0.408	-1.777	2.548	-0.707	0.664	0.155	-0.494	1.020	0.355	-1.781	-0.710	0.471	-2.005	
1.16810	0.01229	0.00051	472.438	-100.774	-135.122	-0.785	0.000	3.141	20933	0.715	54.763	-6.614	-8.855	0.273	-0.090	0.112	-0.367	-1.911	1.981	-0.740	0.539	0.131	-0.496	1.022	0.355	-1.775	-0.705	0.475	-2.013	
0.54074	0.00009	0.00044	472.873	-101.091	-135.074	-0.785	-0.000	-3.141	21168	1.044	55.282	-6.701	-8.727	0.211	-0.174	0.152	-0.611	-2.031	2.255	-0.820	0.830	0.182	-0.496	1.022	0.355	-1.775	-0.705	0.475	-2.013	
7.00000	0.03095	0.00009	477.850	-106.013	-135.097	-0.785	-0.000	-3.141	21452	4.099	55.292	-2.655	-9.674	0.869	-1.176	-0.046	-4.567	-5.388	1.727	-0.749	1.007	0.054	-0.500	1.027	0.355	-1.759	-0.693	0.484	-2.034	
1.78209	0.01475	0.00017	479.135	-107.247	-135.128	-0.785	-0.000	-3.141	21700	5.415	55.976	-0.802	-9.693	1.214	-1.431	-0.129	-4.776	-9.469	1.387	-1.228	0.611	-0.049	-0.502	1.030	0.355	-1.751	-0.687	0.488	-2.043	
1.41819	0.00475	0.00074	477.878	-106.591	-135.146	-0.786	-0.000	3.141	21968	0.028	54.907	-6.573	-8.735	0.520	0.111	-0.036	1.056	-3.526	1.038	-0.564	-0.994	-0.059	-0.502	1.029	0.354	-1.754	-0.689	0.487	-2.040	
3.55376	0.01728	0.00031	475.524	-103.929	-135.132	-0.786	-0.000	-3.142	22248	0.167	54.762	-6.542	-8.792	0.464	0.061	0.015	1.540	-0.976	1.495	-0.192	-0.916	-0.005	-0.499	1.026	0.355	-1.763	-0.696	0.482	-2.029	
0.14621	0.00252	0.00024	475.624	-103.822	-135.133	-0.785	-0.000	-3.141	22496	0.105	55.124	-6.634	-8.935	0.456	0.053	0.017	1.364	-1.284	1.377	-0.326	-0.761	0.001	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.027	
0.00914	0.00265	0.00934	475.619	-103.829	-135.136	-0.776	-0.000	-3.141	22700	0.184	55.101	-6.588	-8.990	0.409	0.064	0.165	1.134	-1.375	1.491	-0.388	-0.578	0.104	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.030	
0.00633	0.10467	0.13127	475.618	-103.823	-135.138	-0.645	-0.000	-3.141	22979	0.083	55.110	-6.636	-9.006	0.541	0.077	0.189	1.445	-1.053	1.432	-0.216	-0.701	0.095	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.135	
0.01069	0.20212	0.19351	475.622	-103.832	-135.139	-0.451	-0.000	-3.142	23259	0.081	55.110	-6.660	-8.977	0.515	0.069	0.115	1.646	-0.781	1.382	-0.056	-0.768	0.099	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.337	
0.00679	0.08282	0.05853	475.624	-103.839	-135.139	-0.393	-0.000	-3.142	23542	0.098	55.112	-6.616	-8.973	0.505	0.068	0.081	1.752	-0.679	1.347	0.010	-0.822	0.062	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.419	
0.00092	0.00025	0.00001	475.625	-103.839	-135.139	-0.393	-0.000	-3.142	23806	0.125	55.188	-6.618	-9.222	0.508	0.049	0.104	1.765	-0.677	1.344	0.012	-0.825	0.055	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.420	
2.83949	0.00807	0.00015	478.254	-104.911	-135.115	-0.393	-0.000	-3.142	24053	0.055	55.388	-6.588	-9.768	0.252	-0.101	0.110	0.627	-0.470	1.114	-0.015	-0.075	0.020	-0.499	1.027	0.355	-1.759	-0.693	0.484	-2.424	
6.78212	0.03641	0.00030	484.500	-107.556	-135.143	-0.393	-0.000	3.142	24335	0.050	55.677	-6.761	-9.518	0.276	-0.093	0.088	0.686	-0.450	1.016	0.033	-0.142	0.008	-0.498	1.034	0.355	-1.737	-0.678	0.496	-2.444	
0.22093	0.00638	0.00021	484.698	-107.652	-135.127	-0.393	0.000	3.141	24569	-0.022	55.719	-6.750	-9.484	0.285	-0.093	0.084	0.942	-0.513	1.282	0.003	-0.248	0.005	-0.498	1.035	0.355	-1.733	-0.675	0.499	-2.448	
0.45457	0.00006	0.00037	485.124	-107.809	-135.112	-0.393	-0.000	3.142	24803	-0.030	56.188	-6.575	-9.263	0.227	-0.218	0.116	0.801	-0.260	1.157	0.072	-0.106	0.016	-0.498	1.035	0.355	-1.733	-0.675	0.499	-2.448	
